Season,Team Name,roster_person_fullName,roster_person_id,_Null_,active,alternateCaptain,birthCity,birthCountry,birthDate,birthStateProvince,captain,currentAge,currentTeam_id,currentTeam_link,currentTeam_name,firstName,fullName,height,id,lastName,link,nationality,primaryNumber,primaryPosition_abbreviation,primaryPosition_code,primaryPosition_name,primaryPosition_type,rookie,rosterStatus,shootsCatches,weight
20182019,Anaheim Ducks,Adam Cracknell,8471490,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Prince Albert,CAN,1985-07-15,SK,"","","","","",Adam,Adam Cracknell,"6' 3""",8471490,Cracknell,/api/v1/people/8471490,CAN,22,RW,R,Right Wing,Forward,0,N,R,209
20182019,Anaheim Ducks,Adam Henrique,8474641,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Brantford,CAN,1990-02-06,ON,0,30,24,/api/v1/teams/24,Anaheim Ducks,Adam,Adam Henrique,"6' 0""",8474641,Henrique,/api/v1/people/8474641,CAN,14,C,C,Center,Forward,0,Y,L,188
20182019,Anaheim Ducks,Andrej Sustr,8477205,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,0,"",Plzen,CZE,1990-11-29,"","","","","","",Andrej,Andrej Sustr,"6' 7""",8477205,Sustr,/api/v1/people/8477205,CZE,62,D,D,Defenseman,Defenseman,0,N,R,217
20182019,Anaheim Ducks,Andrew Cogliano,8471699,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Toronto,CAN,1987-06-14,ON,0,32,25,/api/v1/teams/25,Dallas Stars,Andrew,Andrew Cogliano,"5' 10""",8471699,Cogliano,/api/v1/people/8471699,CAN,11,C,C,Center,Forward,0,Y,L,175
20182019,Anaheim Ducks,Andy Welinski,8476407,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Duluth,USA,1993-04-27,MN,0,26,4,/api/v1/teams/4,Philadelphia Flyers,Andy,Andy Welinski,"6' 1""",8476407,Welinski,/api/v1/people/8476407,USA,3,D,D,Defenseman,Defenseman,0,N,R,201
20182019,Anaheim Ducks,Ben Street,8476043,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Coquitlam,CAN,1987-02-13,BC,0,33,1,/api/v1/teams/1,New Jersey Devils,Ben,Ben Street,"6' 0""",8476043,Street,/api/v1/people/8476043,CAN,36,C,C,Center,Forward,0,N,L,190
20182019,Anaheim Ducks,Brandon Montour,8477986,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Brantford,CAN,1994-04-11,ON,0,25,7,/api/v1/teams/7,Buffalo Sabres,Brandon,Brandon Montour,"6' 0""",8477986,Montour,/api/v1/people/8477986,CAN,62,D,D,Defenseman,Defenseman,0,Y,R,189
20182019,Anaheim Ducks,Brendan Guhle,8478425,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Edmonton,CAN,1997-07-29,AB,0,22,24,/api/v1/teams/24,Anaheim Ducks,Brendan,Brendan Guhle,"6' 2""",8478425,Guhle,/api/v1/people/8478425,CAN,2,D,D,Defenseman,Defenseman,0,N,L,197
20182019,Anaheim Ducks,Brian Gibbons,8476207,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Braintree,USA,1988-02-26,MA,0,32,12,/api/v1/teams/12,Carolina Hurricanes,Brian,Brian Gibbons,"5' 8""",8476207,Gibbons,/api/v1/people/8476207,USA,29,C,C,Center,Forward,0,N,L,175
20182019,Anaheim Ducks,Cam Fowler,8475764,NHL and the NHL Shield are registered trademarks of the National Hockey League. NHL and NHL team marks are the property of the NHL and its teams. © NHL 2020. All Rights Reserved.,1,0,Windsor,CAN,1991-12-05,ON,0,28,24,/api/v1/teams/24,Anaheim Ducks,Cam,Cam Fowler,"6' 1""",8475764,Fowler,/api/v1/people/8475764,USA,4,D,D,Defenseman,Defenseman,0,Y,L,207
